    date        open    close   high    low     volume  money
2023-04-14  5750.0  5800.0  5835.0  5738.0  146356.0  1.269645e+10
2023-04-17  5788.0  5712.0  5807.0  5659.0  202546.0  1.735362e+10
2023-04-18  5701.0  5641.0  5705.0  5603.0  151806.0  1.284229e+10
2023-04-19  5650.0  5626.0  5694.0  5590.0  145294.0  1.231221e+10
2023-04-20  5640.0  5682.0  5706.0  5627.0  160632.0  1.366477e+10
2023-04-21  5683.0  5634.0  5714.0  5633.0  174066.0  1.481114e+10
2023-04-24  5675.0  5608.0  5696.0  5586.0  197406.0  1.668628e+10
2023-04-25  5631.0  5659.0  5705.0  5604.0  175759.0  1.491192e+10
2023-04-26  5601.0  5637.0  5669.0  5574.0  216889.0  1.829046e+10
2023-04-27  5630.0  5662.0  5689.0  5614.0  236346.0  2.005210e+10
2023-04-28  5645.0  5639.0  5652.0  5561.0  215676.0  1.815788e+10
2023-05-04  5798.0  5781.0  5830.0  5763.0  134817.0  1.172799e+10
2023-05-05  5785.0  5871.0  5893.0  5776.0  206088.0  1.805163e+10
2023-05-08  5807.0  5793.0  5807.0  5730.0  265482.0  2.300242e+10
2023-05-09  5798.0  5760.0  5804.0  5752.0  178082.0  1.543291e+10
2023-05-10  5749.0  5791.0  5796.0  5726.0  185452.0  1.604550e+10
2023-05-11  5826.0  5684.0  5832.0  5683.0  313150.0  2.704683e+10
2023-05-12  5658.0  5449.0  5662.0  5433.0  422510.0  3.499623e+10
2023-05-15  5462.0  5464.0  5508.0  5432.0  293437.0  2.405973e+10
2023-05-16  5476.0  5402.0  5493.0  5386.0  289407.0  2.364392e+10
2023-05-17  5446.0  5414.0  5461.0  5393.0  315675.0  2.568186e+10
2023-05-18  5423.0  5417.0  5452.0  5386.0  311295.0  2.532197e+10
2023-05-19  5395.0  5453.0  5471.0  5380.0  394773.0  3.209677e+10
2023-05-22  5440.0  5465.0  5515.0  5414.0  437669.0  3.586763e+10
2023-05-23  5469.0  5422.0  5491.0  5415.0  392529.0  3.209898e+10
2023-05-24  5379.0  5397.0  5456.0  5368.0  688957.0  5.602105e+10
2023-05-25  5409.0  5336.0  5418.0  5289.0  924539.0  7.416519e+10
2023-05-26  5302.0  5336.0  5337.0  5270.0  785591.0  6.251666e+10
2023-05-29  5345.0  5397.0  5403.0  5332.0  751078.0  6.046131e+10
2023-05-30  5379.0  5354.0  5387.0  5327.0  472648.0  3.803072e+10
2023-05-31  5375.0  5452.0  5474.0  5346.0  853584.0  6.905196e+10
2023-06-01  5438.0  5492.0  5501.0  5410.0  822609.0  6.743167e+10
2023-06-02  5489.0  5554.0  5585.0  5483.0  653650.0  5.428120e+10
